,zeitpunkt,bruttolastgang,status
202,2022-01-03T02:30,52481.045458,E
203,2022-01-03T02:45,52200.322565,E
204,2022-01-03T03:00,52106.892874,E
205,2022-01-03T03:15,52077.732719,E
206,2022-01-03T03:30,51800.299594,E
207,2022-01-03T03:45,51757.395194,E
208,2022-01-03T04:00,52088.216319,E
209,2022-01-03T04:15,52543.062022,E
210,2022-01-03T04:30,52833.515582,E
211,2022-01-03T04:45,52984.157677,E
212,2022-01-03T05:00,53871.872587,E
213,2022-01-03T05:15,55885.1338,E
214,2022-01-03T05:30,57683.390019,E
215,2022-01-03T05:45,59389.150252,E
216,2022-01-03T06:00,62180.75917,E
217,2022-01-03T06:15,66060.455203,E
218,2022-01-03T06:30,68880.79893,E
219,2022-01-03T06:45,71682.491685,E
220,2022-01-03T07:00,74154.549487,E
221,2022-01-03T07:15,78350.72717,E
222,2022-01-03T07:30,81123.246419,E
223,2022-01-03T07:45,83843.236021,E
224,2022-01-03T08:00,86062.002284,E
225,2022-01-03T08:15,88441.40225,E
226,2022-01-03T08:30,89146.863261,E
227,2022-01-03T08:45,90622.48465,E
228,2022-01-03T09:00,91270.277225,E
229,2022-01-03T09:15,92076.020136,E
230,2022-01-03T09:30,92607.43066,E
231,2022-01-03T09:45,93568.313411,E
232,2022-01-03T10:00,94617.426822,E
233,2022-01-03T10:15,95239.978426,E
234,2022-01-03T10:30,95852.461408,E
235,2022-01-03T10:45,96174.807337,E
236,2022-01-03T11:00,96986.168349,E
237,2022-01-03T11:15,97232.50493,E
238,2022-01-03T11:30,97666.219114,E
239,2022-01-03T11:45,98184.420255,E
240,2022-01-03T12:00,99120.584832,E
241,2022-01-03T12:15,99565.277279,E
242,2022-01-03T12:30,98514.483068,E
243,2022-01-03T12:45,97305.542265,E
244,2022-01-03T13:00,96759.655241,E
245,2022-01-03T13:15,96850.118054,E
246,2022-01-03T13:30,96532.32449,E
247,2022-01-03T13:45,95551.204775,E
248,2022-01-03T14:00,96453.119069,E
249,2022-01-03T14:15,96655.475064,E
250,2022-01-03T14:30,96049.677286,E
251,2022-01-03T14:45,95137.285127,E
252,2022-01-03T15:00,93238.587711,E
253,2022-01-03T15:15,95147.385708,E
254,2022-01-03T15:30,95076.690701,E
255,2022-01-03T15:45,92503.569402,E
256,2022-01-03T16:00,92638.657201,E
257,2022-01-03T16:15,92790.642239,E
258,2022-01-03T16:30,94839.809214,E
259,2022-01-03T16:45,96450.046767,E
260,2022-01-03T17:00,97887.474154,E
261,2022-01-03T17:15,98427.493229,E
262,2022-01-03T17:30,98092.908097,E
263,2022-01-03T17:45,98317.785069,E
264,2022-01-03T18:00,99001.620232,E
265,2022-01-03T18:15,99377.404844,E
266,2022-01-03T18:30,98980.471093,E
267,2022-01-03T18:45,98287.532332,E
268,2022-01-03T19:00,97134.912565,E
269,2022-01-03T19:15,95367.56399,E
270,2022-01-03T19:30,93742.282892,E
271,2022-01-03T19:45,92018.725723,E
272,2022-01-03T20:00,90277.461515,E
273,2022-01-03T20:15,88044.331184,E
274,2022-01-03T20:30,86043.290174,E
275,2022-01-03T20:45,83935.191438,E
276,2022-01-03T21:00,82125.714203,E
277,2022-01-03T21:15,80259.024925,E
278,2022-01-03T21:30,78422.836258,E
279,2022-01-03T21:45,76285.408789,E
280,2022-01-03T22:00,74764.111513,E
281,2022-01-03T22:15,72421.270267,E
282,2022-01-03T22:30,70455.312094,E
283,2022-01-03T22:45,69102.27859,E
284,2022-01-03T23:00,67651.402419,E
285,2022-01-03T23:15,65716.374891,E
286,2022-01-03T23:30,63733.505765,E
287,2022-01-03T23:45,62480.283163,E
288,2022-01-04T00:00,61058.500026,E
289,2022-01-04T00:15,64476.418763,E
290,2022-01-04T00:30,63723.450485,E
291,2022-01-04T00:45,61835.937042,E
292,2022-01-04T01:00,60429.761118,E
293,2022-01-04T01:15,58875.027366,E
294,2022-01-04T01:30,57533.276027,E
295,2022-01-04T01:45,56805.840963,E
296,2022-01-04T02:00,56002.91809,E
297,2022-01-04T02:15,58466.306186,E
298,2022-01-04T02:30,57669.71241,E
299,2022-01-04T02:45,57001.598512,E
300,2022-01-04T03:00,56326.485943,E
301,2022-01-04T03:15,55805.372713,E
302,2022-01-04T03:30,55143.706363,E
303,2022-01-04T03:45,54826.292437,E
304,2022-01-04T04:00,54643.451923,E
305,2022-01-04T04:15,54741.373881,E
306,2022-01-04T04:30,54608.554397,E
307,2022-01-04T04:45,54606.999499,E
308,2022-01-04T05:00,55372.941472,E
